x,y
40.16967799,7.529327127
15.04078885,19.12122018
12.90794186,27.27216821
44.2588232,11.84469957
32.4040052,37.23849143
11.59198874,30.90749075
29.8064204,51.4504042
30.48745563,46.86902561
19.03998165,14.78332904
10.6342484,11.45545761
52.79886364,51.83182357
37.21859832,6.602533893
32.98782112,41.78756599
14.1677785,11.77815504
20.07747334,15.80329885
53.75839397,53.28000397
62.24060384,50.52488179
26.19142195,36.6448024
9.69675832,19.27685396
30.09337832,9.560140956
49.43944773,12.9628853
18.44478265,19.61348029
30.160114,39.20545044
10.31695296,27.77440592
26.79219724,35.97886133
28.81519292,32.95042897
33.46314864,10.60615832
43.70180757,9.186455112
30.75079085,37.48360389
30.23905971,37.04897696
31.69504392,38.54742626
53.35048693,46.95990448
39.99302269,6.847016102
41.84098045,10.82464674
9.316907024,29.70080313
28.28773194,37.01304979
46.22141874,7.790322803
53.82473115,52.61697768
14.16682969,14.43655677
36.08313782,8.485350937
63.50180276,49.43455874
32.57557465,39.6588067
14.10414632,14.71679102
59.24775321,50.00037442
17.13892874,16.68623105
9.978048896,10.08875401
44.53937721,11.61863759
31.01715477,25.59610967
29.00769815,47.56379522
35.2610984,8.924267169
16.26426872,15.39739191
39.45805176,10.20853291
30.88466548,41.49839277
37.27628442,7.111243579
18.83335421,15.47420828
46.41904557,7.755840221
62.82987726,48.20390569
56.0687895,49.45758691
8.326076054,30.46047001
31.41185042,33.94202671
14.55972628,13.13078447
28.79895791,46.19473941
63.822364,42.55431278
36.13337715,34.30706496
47.30474434,11.33511787
62.3831224,47.17327852
36.34600526,13.86414093
56.75276066,54.85154663
30.36113705,34.63611009
13.53419358,29.89752828
36.66725631,10.38579613
30.96978067,38.02558892
42.74266208,8.96848233
10.3591573,33.3061169
10.72363015,31.55072315
55.23687306,51.27592886
29.63867799,39.98661928
43.20883752,13.28558859
43.67819923,13.32986869
36.55650556,10.28677034
31.12044035,34.07688554
41.8760323,7.724876732
16.85656932,9.624175894
44.0570255,13.34049567
33.48111038,8.69802635
63.93879324,49.003289
12.13104615,14.32875924
31.52053271,33.391634
39.46109932,13.32730634
10.71865141,35.99893044
5.409490185,31.51880627
37.90111611,8.896622167
28.31023336,39.973152
30.7112877,39.47692926
44.81129086,14.08003131
9.790261485,26.08891464
32.3425091,34.59192214
12.62876477,25.25324036
13.84475716,15.82624
42.12484209,10.92049822
42.7160119,12.0528112
27.72097243,35.99365034
33.82210793,5.51906324
24.85297832,47.16896047
14.63308797,16.8721652
29.44804802,42.78605692
34.72402781,5.353745142
31.96730078,42.3998321
33.11435856,38.74232621
18.54853442,16.33413616
28.67245349,36.7846219
54.8156652,50.55142959
44.39143759,12.40040452
38.39000277,38.29442066
30.49253926,44.77095343
31.15834295,41.69847473
18.88488679,16.71762209
19.19445022,12.18973392
17.03488591,11.86275623
41.37763941,9.638333699
30.78426801,36.88211764
29.40482532,43.00478912
41.50067696,12.50593282
13.93528178,14.61862477
14.1461009,15.90439878
10.93939084,19.89591185
14.9573528,17.76235584
47.31917637,6.30038283
50.40983449,47.61102882
10.64044086,28.19329248
46.50289613,9.469677739
33.6916005,43.05425765
36.34415821,9.144519771
29.07351004,13.23809134
28.38223694,35.98259366
41.85659923,11.80689307
61.93162825,51.43035492
10.11173364,24.48749047
60.83364082,48.92222333
11.78343481,30.01614649
7.809724455,30.4819113
31.52566739,39.44582684
13.2020599,16.50566784
12.96975794,13.98812749
34.4293371,10.3921502
42.83514955,13.78305716
29.29784158,48.00929381
17.34818094,12.16815384
28.60348414,39.12567467
37.09673955,5.434506708
32.07874793,37.17991775
48.23917395,8.870060387
43.9690295,10.02327411
11.41983013,27.71958807
42.71695476,12.57590327
15.10551274,16.72667411
38.76253563,9.422894605
14.08891726,28.33761174
66.16423397,45.91163248
38.85608712,8.445454241
44.54760174,7.980604323
66.95466073,53.42925664
33.67078303,10.33030941
62.35775226,52.16534369
39.94916185,4.976823463
14.60074553,30.86291779
59.73556044,49.75982082
37.37250577,9.291506615
32.47407731,49.59431986
12.62308453,24.10425891
29.14771733,39.72999809
15.45546109,15.123882
60.9273173,51.88188284
32.78561372,33.85665114
30.03121043,43.85609752
9.638157083,28.44007769
36.97539291,9.012865342
31.84338903,10.11202314
9.700749934,31.76091846
29.45184859,41.18921713
28.82469309,41.23856858
32.19314605,40.91668554
48.58326501,7.981962685
60.64119912,48.10506614
41.87823314,12.6690747
8.62364103,29.18134276
15.96797271,33.74006194
31.06559463,41.39309359
8.440826401,27.11755303
12.60191662,26.1884975
33.37092561,11.92810036
9.387339478,26.78837027
9.145661454,27.88856033
31.68462883,41.54363762
30.38551471,44.91828828
30.08594611,39.78449294
8.063318198,35.97949962
43.87428386,10.54217182
10.32658724,28.2439231
32.26846163,43.09290983
52.52231544,9.295132197
33.83463593,13.10303303
17.85897316,15.42364607
13.82542531,14.28551649
34.04215069,7.945715399
28.49410468,37.98773052
30.91413783,39.82437605
30.90689776,44.61542947
43.10717445,9.218541803
38.89104337,8.663175155
25.74151864,8.001451389
31.4621421,40.23573714
28.10727151,24.43609137
31.12391129,36.03951969
57.20779864,46.18875843
37.58120737,10.4257048
6.871734112,28.73118383
37.95392648,10.77036896
13.89399022,34.17310398
15.98815565,23.49862224
18.61288645,12.93132098
29.69094563,39.76659242
36.13019887,12.84711927
11.28445654,18.22295365
23.060148,13.6045042
41.70191572,14.40147054
34.79867094,7.93249787
17.12578546,15.18614236
17.65880519,17.53133812
26.57181822,46.24625336
11.67958077,15.33479774
39.65990828,8.808489463
40.24100651,9.583239521
42.53834684,11.89466161
37.19044327,9.509471035
40.58706394,7.498857505
19.99989578,15.03931682
44.43267158,13.24526404
41.57805799,6.817049695
28.62336597,39.80373019
28.96004261,40.51157889
17.63359368,14.05390075
40.79562946,14.86072131
32.96876849,33.93373614
16.88699633,17.78191759
11.91898983,33.78218704
11.44659776,16.11037264
65.76201594,46.39523551
46.11619994,8.539980367
10.91835924,30.84934393
49.05628508,6.738450279
15.33293155,14.00679383
37.26876976,10.55202943
7.36703219,31.82952722
9.542000855,32.34640179
10.21543431,29.32480062
16.31381305,17.15414574
12.38903935,29.11692919
62.07887477,51.52284241
34.84676392,10.44227039
30.15662919,34.94438102
32.86580721,41.50493667
22.51975297,21.23001897
39.6008587,15.04145113
33.65095764,8.314510981
38.58083487,7.895104383
34.77103331,44.93213335
33.15977847,43.3790442
12.63854847,16.51182786
61.6289756,45.88616536
20.32822683,10.37218241
34.12223141,32.98867666
36.35163674,10.50693828
39.74293233,5.576729402
28.49731859,42.04512856
10.94917051,31.26899076
38.81691551,4.24291447
16.80635237,17.44426509
6.953535391,27.26678414
37.00178472,13.2900262
44.84659027,7.833980506
9.54635191,29.90582539
59.6618395,46.31193774
13.2432457,13.0642781
24.12427619,14.27613773
28.14833953,10.47719166
58.71935961,48.54243956
51.1051214,11.22376748
32.52776758,46.15782028
9.3048477,27.41927522
7.499792903,32.49783214
31.95425297,10.39543559
14.73885797,17.18469437
25.76279116,47.81152233
30.87693338,49.8586011
14.83841226,16.26341811
30.70067738,37.26545601
10.57970839,32.28241024
24.90944221,33.04440546
43.80407377,11.21538044
30.28881716,34.76141321
60.36559049,48.25967286
26.49453976,41.0007891
58.35320717,53.04448008
6.992722022,14.35901466
39.98997727,10.55508683
62.67861978,50.68783695
40.8269887,8.71697503
14.42530565,15.77359218
36.89342398,11.83282484
16.89690875,12.83613579
34.69531075,6.183416973
15.11563597,21.74533465
42.51954298,9.653623102
33.40206729,38.52229141
66.08068311,49.90620271
29.83026675,41.89181001
38.34278641,9.433357064
44.52077989,8.503388011
28.71943546,14.52393827
29.9854425,35.45024848
43.19198914,4.755327472
